,x,y,z
Frontal Pole,32.075305291723204,45.544097693351425,17.024423337856174
Insular Cortex,32.065104166666664,33.643229166666664,17.34375
Superior Frontal Gyrus,31.32216014897579,36.957169459962756,23.363128491620113
Middle Frontal Gyrus,31.405017921146953,37.2168458781362,21.381720430107528
"Inferior Frontal Gyrus, pars triangularis",30.44973544973545,35.46031746031746,17.66137566137566
"Inferior Frontal Gyrus, pars opercularis",31.753554502369667,34.312796208530806,17.44075829383886
Precentral Gyrus,31.26610644257703,31.65826330532213,22.473389355742295
Temporal Pole,32.18138424821002,36.985680190930786,10.985680190930788
"Superior Temporal Gyrus, anterior division",32.04347826086956,31.41304347826087,15.271739130434783
"Superior Temporal Gyrus, posterior division",31.065573770491802,27.647540983606557,16.75409836065574
"Middle Temporal Gyrus, anterior division",31.23846153846154,31.623076923076923,13.438461538461539
"Middle Temporal Gyrus, posterior division",31.634057971014492,29.17753623188406,14.235507246376812
"Middle Temporal Gyrus, temporooccipital part",33.50476190476191,25.004761904761907,15.485714285714286
"Inferior Temporal Gyrus, anterior division",32.77685950413223,28.826446280991735,14.578512396694215
"Inferior Temporal Gyrus, posterior division",30.270642201834864,27.458715596330276,12.802752293577981
"Inferior Temporal Gyrus, temporooccipital part",32.08743169398907,23.092896174863387,15.295081967213115
Postcentral Gyrus,30.555555555555557,27.295668549905837,23.282485875706215
Superior Parietal Lobule,31.225255972696246,22.911262798634812,23.119453924914676
"Supramarginal Gyrus, anterior division",30.908536585365855,27.140243902439025,19.829268292682926
"Supramarginal Gyrus, posterior division",31.822966507177032,23.56937799043062,20.00956937799043
Angular Gyrus,33.19183673469388,21.66122448979592,18.991836734693877
"Lateral Occipital Cortex, superior division",31.56774193548387,17.388387096774192,20.54193548387097
"Lateral Occipital Cortex, inferior division",31.771604938271604,17.34567901234568,14.101851851851851
Intracalcarine Cortex,31.508474576271187,19.0,15.940677966101696
Frontal Medial Cortex,32.0,38.45360824742268,13.587628865979381
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),31.547770700636942,32.18471337579618,21.910828025477706
Subcallosal Cortex,32.29457364341085,33.81395348837209,14.0
Paracingulate Gyrus,31.666666666666668,41.67886178861789,18.715447154471544
"Cingulate Gyrus, anterior division",31.597345132743364,37.98672566371681,18.707964601769913
"Cingulate Gyrus, posterior division",31.63,25.355,19.09
Precuneous Cortex,31.57871396895787,20.685144124168513,20.352549889135254
Cuneal Cortex,31.48148148148148,17.955555555555556,17.474074074074075
Frontal Orbital Cortex,31.529411764705884,39.403361344537814,12.445378151260504
"Parahippocampal Gyrus, anterior division",31.666666666666668,31.37142857142857,10.523809523809524
"Parahippocampal Gyrus, posterior division",31.655172413793103,25.43103448275862,12.5
Lingual Gyrus,31.524390243902438,19.76829268292683,13.386178861788618
"Temporal Fusiform Cortex, anterior division",29.863636363636363,31.37878787878788,10.0
"Temporal Fusiform Cortex, posterior division",31.25,27.4,10.871428571428572
Temporal Occipital Fusiform Cortex,32.08,22.608,12.072
Occipital Fusiform Gyrus,31.456521739130434,18.42753623188406,12.376811594202898
Frontal Opercular Cortex,29.79245283018868,35.35849056603774,15.79245283018868
Central Opercular Cortex,31.288888888888888,32.20740740740741,16.77777777777778
Parietal Opercular Cortex,31.254901960784313,26.80392156862745,17.627450980392158
Planum Polare,32.17857142857143,32.089285714285715,14.357142857142858
Heschl's Gyrus (includes H1 and H2),29.125,28.458333333333332,16.125
Planum Temporale,31.854545454545455,27.672727272727272,16.6
Supracalcarine Cortex,32.0625,15.4375,16.375
Occipital Pole,31.383977900552487,11.303867403314918,15.220994475138122
Left Cerebral White Matter,25.33516295025729,30.656946826758148,17.77941680960549
Left Cerebral Cortex,23.742641509433962,30.27566037735849,17.667169811320754
Left Lateral Ventricle,30.68888888888889,31.125925925925927,15.814814814814815
Left Thalamus,30.93167701863354,30.490683229813666,15.440993788819876
Left Caudate,32.62222222222222,32.2,15.166666666666666
Left Putamen,29.71551724137931,33.6551724137931,15.094827586206897
Left Pallidum,33.37837837837838,31.986486486486488,15.324324324324325
Brain-Stem,32.25058004640371,28.447795823665892,9.584686774941995
Left Hippocampus,36.86466165413534,28.007518796992482,14.0
Left Amygdala,36.9625,33.15,16.05
Left Accumbens,39.25,30.8125,15.3125
Right Cerebral White Matter,38.20361309747836,31.134362062476477,17.937147158449378
Right Cerebral Cortex,39.40140296180826,30.714925954793454,17.807872174590802
Right Lateral Ventricle,34.915789473684214,31.978947368421053,16.83157894736842
Right Thalamus,34.48360655737705,31.524590163934427,15.844262295081966
Right Caudate,35.30232558139535,37.372093023255815,16.302325581395348
Right Putamen,37.779411764705884,34.955882352941174,14.573529411764707
Right Pallidum,36.766666666666666,33.2,13.8
Right Hippocampus,38.13636363636363,29.977272727272727,12.295454545454545
Right Amygdala,37.44444444444444,34.48148148148148,11.703703703703704
Right Accumbens,34.4,38.6,14.0
Substantia Nigra Right,33.5,30.5,12.0
Substantia Nigra Left,30.0,30.5,12.0
